antecedents,consequents,support,confidence,lift,ant_class,con_class
B24J86,F7LULH,0.00751653638003608,0.7352941176470589,85.81011351909184,C,A
F7LULH,B24J86,0.00751653638003608,0.8771929824561404,85.81011351909184,A,C
NM6C73,IJBSQT,0.008193024654239326,0.38928571428571423,18.36545086119554,C,C
IJBSQT,NM6C73,0.008193024654239326,0.38652482269503546,18.36545086119554,C,C
NJVZEL,"U95NWB, TNAHD4",0.004209260372820205,0.2058823529411765,17.119117647058825,A,mixed
"U95NWB, TNAHD4",NJVZEL,0.004209260372820205,0.35,17.11911764705882,mixed,A
37VA62,800OVF,0.004585087191822009,0.18711656441717794,15.17926081101302,A,C
800OVF,37VA62,0.004585087191822009,0.3719512195121951,15.179260811013018,C,A
"W25EZN, IA7X1P",5P2MVG,0.004209260372820205,0.2456140350877193,14.458624437199195,mixed,A
5P2MVG,"W25EZN, IA7X1P",0.004209260372820205,0.24778761061946908,14.458624437199195,A,mixed
J3FI7N,"WRRW1W, TBCCF7",0.005186410102224895,0.2090909090909091,14.049219467401286,A,mixed
"WRRW1W, TBCCF7",J3FI7N,0.005186410102224895,0.34848484848484845,14.049219467401285,mixed,A
"TBCCF7, AKP0A7",RAUDQ6,0.004209260372820205,0.47457627118644075,13.815673330119054,mixed,A
RAUDQ6,"TBCCF7, AKP0A7",0.004209260372820205,0.1225382932166302,13.815673330119052,A,mixed
"XUZJ74, V7JUQL",7BU1V7,0.0046602525556223694,0.6888888888888889,12.981554926030846,mixed,C
"W25EZN, 56TC1Z",IA7X1P,0.004359591100420926,0.6373626373626373,12.770289951012842,mixed,C
"W25EZN, 5P2MVG",IA7X1P,0.004209260372820205,0.6363636363636364,12.750273822562978,mixed,C
"TNAHD4, NJVZEL",U95NWB,0.004209260372820205,0.5656565656565656,12.480091126857296,mixed,B
"5P2MVG, IA7X1P",W25EZN,0.004209260372820205,0.767123287671233,12.178768757969074,mixed,C
AB9XBU,"W25EZN, WRRW1W",0.0042844257366205655,0.2326530612244898,12.090688775510204,B,mixed
"W25EZN, WRRW1W",AB9XBU,0.0042844257366205655,0.22265625,12.090688775510204,mixed,B
"XUZJ74, WGHG3L",IA7X1P,0.004209260372820205,0.5894736842105264,11.810779961953076,mixed,C
"W25EZN, TNAHD4",IA7X1P,0.006389055923030668,0.5862068965517242,11.745326132114666,mixed,C
IA7X1P,"W25EZN, TNAHD4",0.006389055923030668,0.12801204819277107,11.745326132114664,C,mixed
"8D9SAW, U95NWB",O9YFO8,0.004134095009019844,0.2835051546391753,11.569793181961927,mixed,A
O9YFO8,"8D9SAW, U95NWB",0.004134095009019844,0.16871165644171782,11.569793181961927,A,mixed
J3FI7N,"TBCCF7, SMMRK3",0.004209260372820205,0.1696969696969697,11.51861471861472,A,mixed
"TBCCF7, SMMRK3",J3FI7N,0.004209260372820205,0.2857142857142857,11.518614718614717,mixed,A
O9YFO8,"W25EZN, I1KDJ0",0.004134095009019844,0.16871165644171782,11.451734067860274,A,mixed
"W25EZN, I1KDJ0",O9YFO8,0.004134095009019844,0.28061224489795916,11.451734067860272,mixed,A
"U95NWB, NJVZEL",TNAHD4,0.004209260372820205,0.6086956521739131,11.27867264139518,mixed,A
O9YFO8,"8D9SAW, AKP0A7",0.004058929645219483,0.16564417177914112,11.243520721171905,A,mixed
"8D9SAW, AKP0A7",O9YFO8,0.004058929645219483,0.2755102040816326,11.243520721171903,mixed,A
"XUZJ74, LXJQVG",7BU1V7,0.004209260372820205,0.5957446808510638,11.226327526972455,mixed,C
"XUZJ74, 56TC1Z",IA7X1P,0.004960914010823813,0.5593220338983051,11.206657137022667,mixed,C
"IA7X1P, JEGRCL",TNAHD4,0.005336740829825617,0.6016949152542374,11.148954251451775,mixed,A
"ZRCYSH, SMMRK3",56TC1Z,0.004359591100420926,0.4461538461538461,10.675594908688433,mixed,A
56TC1Z,"ZRCYSH, SMMRK3",0.004359591100420926,0.10431654676258993,10.675594908688433,A,mixed
7BU1V7,"XUZJ74, I1KDJ0",0.00841852074564041,0.15864022662889518,10.605776759149856,C,mixed
"XUZJ74, I1KDJ0",7BU1V7,0.00841852074564041,0.5628140703517588,10.605776759149856,mixed,C
5P2MVG,"8N10W9, IA7X1P",0.00473541791942273,0.2787610619469027,10.596106194690268,A,mixed
"8N10W9, IA7X1P",5P2MVG,0.00473541791942273,0.18,10.596106194690266,mixed,A
"DGAONE, KTDZY0",AKP0A7,0.0042844257366205655,0.6785714285714286,10.58348685312343,mixed,A
"RAUDQ6, KTDZY0",AKP0A7,0.005712567648827421,0.6725663716814161,10.489827677432073,mixed,A
"J3FI7N, SMMRK3",TBCCF7,0.004209260372820205,0.44094488188976383,10.438310869504303,mixed,C
"W25EZN, 2T1DJM",0LNUOV,0.004585087191822009,0.41216216216216217,10.34604793472718,mixed,C
0LNUOV,"W25EZN, 2T1DJM",0.004585087191822009,0.11509433962264151,10.34604793472718,C,mixed
"XUZJ74, 0LNUOV",7BU1V7,0.0046602525556223694,0.5486725663716815,10.33929153400687,mixed,C
J3FI7N,"WRRW1W, AKP0A7",0.005036079374624173,0.20303030303030306,10.19288736420812,A,mixed
"WRRW1W, AKP0A7",J3FI7N,0.005036079374624173,0.2528301886792453,10.192887364208119,mixed,A
U95NWB,"8N10W9, O9YFO8",0.006088394467829225,0.13432835820895522,10.096635466734126,B,mixed
"8N10W9, O9YFO8",U95NWB,0.006088394467829225,0.4576271186440678,10.096635466734126,mixed,B
IA7X1P,"8N10W9, 1ENECA",0.005562236921226699,0.11144578313253012,10.086222440783542,C,mixed
"8N10W9, 1ENECA",IA7X1P,0.005562236921226699,0.5034013605442177,10.086222440783542,mixed,C
56TC1Z,"IA7X1P, WRRW1W",0.005186410102224895,0.12410071942446044,10.067292507457449,A,mixed
"IA7X1P, WRRW1W",56TC1Z,0.005186410102224895,0.42073170731707316,10.067292507457449,mixed,A
"J3FI7N, WRRW1W",TBCCF7,0.005186410102224895,0.4233128834355828,10.020915660546253,mixed,C
TBCCF7,"J3FI7N, WRRW1W",0.005186410102224895,0.12277580071174377,10.020915660546253,C,mixed
"KTDZY0, 56TC1Z",IA7X1P,0.004585087191822009,0.5,10.018072289156626,mixed,C
0LNUOV,"2T1DJM, AKP0A7",0.006163559831629585,0.1547169811320755,9.84858716258915,C,mixed
"2T1DJM, AKP0A7",0LNUOV,0.006163559831629585,0.39234449760765555,9.84858716258915,mixed,C
JEGRCL,"TNAHD4, AKP0A7",0.006915213469633193,0.1253405994550409,9.80900785382273,A,mixed
"TNAHD4, AKP0A7",JEGRCL,0.006915213469633193,0.5411764705882354,9.80900785382273,mixed,A
"XUZJ74, DGAONE",AKP0A7,0.004058929645219483,0.627906976744186,9.793287712314948,mixed,A
"8N10W9, 0LNUOV",O9YFO8,0.004359591100420926,0.2396694214876033,9.780864979972621,mixed,A
O9YFO8,"8N10W9, 0LNUOV",0.004359591100420926,0.17791411042944785,9.780864979972621,A,mixed
"W25EZN, AKP0A7",0LNUOV,0.004585087191822009,0.3885350318471338,9.752962384328807,mixed,C
0LNUOV,"W25EZN, AKP0A7",0.004585087191822009,0.11509433962264151,9.752962384328807,C,mixed
"W25EZN, TNAHD4",JEGRCL,0.005862898376428142,0.5379310344827587,9.750183219017197,mixed,A
JEGRCL,"W25EZN, TNAHD4",0.005862898376428142,0.10626702997275206,9.750183219017195,A,mixed
"KTDZY0, AKP0A7",J3FI7N,0.004359591100420926,0.24166666666666664,9.742828282828283,mixed,A
J3FI7N,"KTDZY0, AKP0A7",0.004359591100420926,0.17575757575757578,9.742828282828283,A,mixed
TNAHD4,"JEGRCL, AKP0A7",0.006915213469633193,0.12813370473537605,9.741090330282532,A,mixed
"JEGRCL, AKP0A7",TNAHD4,0.006915213469633193,0.5257142857142857,9.74109033028253,mixed,A
"8N10W9, 5P2MVG",IA7X1P,0.00473541791942273,0.48461538461538456,9.709823911028728,mixed,C
TNAHD4,"W25EZN, JEGRCL",0.005862898376428142,0.10863509749303622,9.699874745284255,A,mixed
"W25EZN, JEGRCL",TNAHD4,0.005862898376428142,0.5234899328859061,9.699874745284255,mixed,A
"IA7X1P, JEGRCL",W25EZN,0.005411906193625977,0.6101694915254238,9.68698677237976,mixed,C
IA7X1P,"W25EZN, JEGRCL",0.005411906193625977,0.10843373493975904,9.681895366701706,C,mixed
"W25EZN, JEGRCL",IA7X1P,0.005411906193625977,0.48322147651006714,9.681895366701706,mixed,C
56TC1Z,"IA7X1P, KTDZY0",0.004585087191822009,0.10971223021582735,9.666301395969318,A,mixed
"IA7X1P, KTDZY0",56TC1Z,0.004585087191822009,0.4039735099337749,9.666301395969318,mixed,A
NJVZEL,"8N10W9, IA7X1P",0.005186410102224895,0.2536764705882353,9.642605042016806,A,mixed
"8N10W9, IA7X1P",NJVZEL,0.005186410102224895,0.19714285714285712,9.642605042016806,mixed,A
"0LNUOV, 7BU1V7",AKP0A7,0.004434756464221287,0.6145833333333334,9.585482610394685,mixed,A
WGHG3L,"8N10W9, 1ENECA",0.004585087191822009,0.1055363321799308,9.551397029399997,A,mixed
"8N10W9, 1ENECA",WGHG3L,0.004585087191822009,0.41496598639455784,9.551397029399995,mixed,A
"KTDZY0, O9YFO8",AKP0A7,0.004134095009019844,0.6111111111111112,9.531327341409405,mixed,A
"U95NWB, 2T1DJM",AKP0A7,0.004434756464221287,0.6082474226804124,9.4866632020401,mixed,A
